CAN ID,raw_data_1,swapped_data_1,swapped_data_1_bin,raw_data_2,swapped_data_2,swapped_data_2_bin,range_m,range_m_bin,azimuth_angle,azimuth_angle_bin,speed_radial,speed_radial_bin,rcs,rcs_bin,power,power_bin,noise,noise_bin,elevation,elevation_bin
1025,c0c0c17703d80d00,000dd80377c1c0c0,0000000000001101110110000000001101110111110000011100000011000000,a10b3b0180d90100,0001d980013b0ba1,0000000000000001110110011000000000000001001110110000101110100001,3.84,0000000000000000000000000000000000000000000000000000000001100000,-5.12,0000000000000000000000000000000000000000000000000000000111011111,0.0,0000000000000000000000000000000000000000000000000000101110110000,26.6,0000000000000000000000000000000000000000000000000000000011010000,133,0000000000000000000000000000000000000000000000000000000010000101,78.5,0000000000000000000000000000000000000000000000000000000010011101,8.2,0000000000000000000000000000000000000000000000000000001011001100
1026,d2c1c1b904d80d00,000dd804b9c1c1d2,0000000000001101110110000000010010111001110000011100000111010010,27f7520120c60100,0001c6200152f727,0000000000000001110001100010000000000001010100101111011100100111,9.32,0000000000000000000000000000000000000000000000000000000011101001,37.12,0000000000000000000000000000000000000000000000000000001011100111,0.0,0000000000000000000000000000000000000000000000000000101110110000,14.400000000000002,0000000000000000000000000000000000000000000000000000000010010011,123,0000000000000000000000000000000000000000000000000000000001111011,84.5,0000000000000000000000000000000000000000000000000000000010101001,2.0,0000000000000000000000000000000000000000000000000000001000110001
1025,c6c041c704d80d00,000dd804c741c0c6,0000000000001101110110000000010011000111010000011100000011000110,a7093b0140af0100,0001af40013b09a7,0000000000000001101011110100000000000001001110110000100110100111,3.96,0000000000000000000000000000000000000000000000000000000001100011,45.76,0000000000000000000000000000000000000000000000000000001100011101,0.0,0000000000000000000000000000000000000000000000000000101110110000,27.200000000000003,0000000000000000000000000000000000000000000000000000000011010011,132,0000000000000000000000000000000000000000000000000000000010000100,78.5,0000000000000000000000000000000000000000000000000000000010011101,-5.32,0000000000000000000000000000000000000000000000000000000101111010
1026,d4c1c1be04d80d00,000dd804bec1c1d4,0000000000001101110110000000010010111110110000011100000111010100,3ffb4c0100bb0100,0001bb00014cfb3f,0000000000000001101110110000000000000001010011001111101100111111,9.36,0000000000000000000000000000000000000000000000000000000011101010,40.32,0000000000000000000000000000000000000000000000000000001011111011,0.0,0000000000000000000000000000000000000000000000000000101110110000,16.8,0000000000000000000000000000000000000000000000000000000010011111,125,0000000000000000000000000000000000000000000000000000000001111101,83.0,0000000000000000000000000000000000000000000000000000000010100110,-1.56,0000000000000000000000000000000000000000000000000000000111011000
1027,d40242b604d80d00,000dd804b64202d4,0000000000001101110110000000010010110110010000100000001011010100,1ddb5c01c0e60100,0001e6c0015cdb1d,0000000000000001111001101100000000000001010111001101101100011101,14.48,0000000000000000000000000000000000000000000000000000000101101010,34.88,0000000000000000000000000000000000000000000000000000001011011001,0.0,0000000000000000000000000000000000000000000000000000101110110000,13.400000000000002,0000000000000000000000000000000000000000000000000000000010001110,109,0000000000000000000000000000000000000000000000000000000001101101,87.0,0000000000000000000000000000000000000000000000000000000010101110,12.44,0000000000000000000000000000000000000000000000000000001100110110
1025,c6c001cb05d80d00,000dd805cb01c0c6,0000000000001101110110000000010111001011000000011100000011000110,ff0b3b01c09c0100,00019cc0013b0bff,0000000000000001100111001100000000000001001110110000101111111111,3.96,0000000000000000000000000000000000000000000000000000000001100011,48.160000000000004,0000000000000000000000000000000000000000000000000000001100101100,0.0,0000000000000000000000000000000000000000000000000000101110110000,36.0,0000000000000000000000000000000000000000000000000000000011111111,133,0000000000000000000000000000000000000000000000000000000010000101,78.5,0000000000000000000000000000000000000000000000000000000010011101,-11.24,0000000000000000000000000000000000000000000000000000000011100110
1026,d6c1c1c104d80d00,000dd804c1c1c1d6,0000000000001101110110000000010011000001110000011100000111010110,49fb4c0120bf0100,0001bf20014cfb49,0000000000000001101111110010000000000001010011001111101101001001,9.4,0000000000000000000000000000000000000000000000000000000011101011,42.24,0000000000000000000000000000000000000000000000000000001100000111,0.0,0000000000000000000000000000000000000000000000000000101110110000,17.800000000000004,0000000000000000000000000000000000000000000000000000000010100100,125,0000000000000000000000000000000000000000000000000000000001111101,83.0,0000000000000000000000000000000000000000000000000000000010100110,-0.24,0000000000000000000000000000000000000000000000000000000111111001
1025,c8c0017a03d80d00,000dd8037a01c0c8,0000000000001101110110000000001101111010000000011100000011001000,710b3b0100c10100,0001c100013b0b71,0000000000000001110000010000000000000001001110110000101101110001,4.0,0000000000000000000000000000000000000000000000000000000001100100,-3.68,0000000000000000000000000000000000000000000000000000000111101000,0.0,0000000000000000000000000000000000000000000000000000101110110000,21.800000000000004,0000000000000000000000000000000000000000000000000000000010111000,133,0000000000000000000000000000000000000000000000000000000010000101,78.5,0000000000000000000000000000000000000000000000000000000010011101,0.36,0000000000000000000000000000000000000000000000000000001000001000
1026,d4c101c404d80d00,000dd804c401c1d4,0000000000001101110110000000010011000100000000011100000111010100,55fb480160b80100,0001b8600148fb55,0000000000000001101110000110000000000001010010001111101101010101,9.36,0000000000000000000000000000000000000000000000000000000011101010,43.68,0000000000000000000000000000000000000000000000000000001100010000,0.0,0000000000000000000000000000000000000000000000000000101110110000,19.0,0000000000000000000000000000000000000000000000000000000010101010,125,0000000000000000000000000000000000000000000000000000000001111101,82.0,0000000000000000000000000000000000000000000000000000000010100100,-2.4,0000000000000000000000000000000000000000000000000000000111000011
1025,c6c0017a03d80d00,000dd8037a01c0c6,0000000000001101110110000000001101111010000000011100000011000110,6f0b3b0140c00100,0001c040013b0b6f,0000000000000001110000000100000000000001001110110000101101101111,3.96,0000000000000000000000000000000000000000000000000000000001100011,-3.68,0000000000000000000000000000000000000000000000000000000111101000,0.0,0000000000000000000000000000000000000000000000000000101110110000,21.6,0000000000000000000000000000000000000000000000000000000010110111,133,0000000000000000000000000000000000000000000000000000000010000101,78.5,0000000000000000000000000000000000000000000000000000000010011101,0.12,0000000000000000000000000000000000000000000000000000001000000010
